Symptoms,Herbs_ID,Formulation
Abdominal colic,86,4 leaves of parnayavani crushed and put in to 20ml of hot water. Intake of this water frequently will cure the stomach ache.
Abdominal distention,96,A fistful of moringa flowers are cooked well with little salt and black pepper (or garlic and ginger paste can also added). This is very good effect in subsiding gaseous distension of abdomen and anorexia.
Acid peptic disorders,29,"10 ml of Durva Cynodon dactylon, Poaceae Vernacular names fresh Juice of Durva with one cup of milk is administered once or twice a day before food is beneficial in gastritis, hyperacidity, gastric ulcer and heart burn."
Acid peptic disorders,89,20gms of bark powder boiled in 100ml of cowʼs milk and till the mixture reduced to 50ml . Consuming this milk early in the morning will pacify Gastritis and acid peptic disorders.
Acidity,56,Soak a few dates overnight in water and eat them in the morning regularly along with the water in which they were soaked.
Acne,22,"Mash few leaves of Brahmi along with lemon juice and turmeric powder. Make the paste and apply on face, once per week. It erases all of the scars and acne."
Acne,25,"Water boiled with pomegranate fruit peels should be used to wash the face for Acne. Powdered pomegranate skin should be combined with rose water or lemon juice and applied like a face pack for calming pimples, boils, acne as well as Dadima Punica granatum, Lythraceae Vernacular names for eliminating white heads and black heads."
Acne,37,Local application of haritaki paste on acne will not only cure acne but also prevents scarring.
Acne,44,Mix Jamun seed powder with some cowʼs milk and apply on the pimples while going to bed at night. Wash in the morning and continue this for few days for good results.
Acne,46,Equal quantity of Nutmeg and cinnamon powder mixed with honey and applied over the face daily in the morning and keep it for approximately 10-15 minutes. Then rinse with cold water. It will help in relieving acne as well as reducing scars.
Acne,57,"1 spoon of poppy seeds are soaked in curd and made into paste and applied over the scars, acne marks or over the dark circles. This helps to vanish all these lesions."
Acne,62,"Prepare a paste of saffron (10 stigmas), 10 gms of sandal wood and rose water. Apply it as a face pack helps to reduce pimple, dark circle, acne, and increase fairness"
Acne,66,Use a paste of clove powder with honey over the acne is beneficial.
Acne,80,"The paste of fresh leaves of Nimba Azadirachta indica, Meliaceae. Vernacular names neem should be applied on acne."
Acne,86,External application of leaves paste mixed with curd is highly beneficial in removing acne effectively.
Acne,89,Apply mashed fresh figs all over the face and let it dry for 15-20min and wash with normal water. Regular application of this paste is useful to cure acne.
Acne,90,Equal quantity of fresh leaves of vinca and neem and turmeric fresh rhizome are made into a fine paste and is applied over the acne lesions and skin scars. Regular application gives excellent results in this condition.
Acne,91,Regular intake of 5gms of sariva root powder with water twice daily is useful in acne and acts as very good blood purifier. Regular washing the face with the decoction of sariva is also helpful to cure acne.
Acne,95,"A fistful of fresh curry leaves and one small turmeric (fresh rhizome) are made into fine paste and applied over the lesions of acne. This helps to relieve the oily skin acne, dark circles and black heads."
Acne,96,Leaf paste with lemon juice can be mixed and applied over face. This is useful to overcome black heads and acne.
Acne,98,"Equal quantity of Sandal wood powder and almond powder are made a paste by adding milk. Apply this paste on the face and neck to get relief from acne and to get fair Svetachandana Santalum album, Santalaceae Vernacular names complexion."
Aguesia,6,Aragavadha pulp is useful in loss of taste due to excessive use of cocaine. 25gms of fruit pulp is mixed with 250ml of hot milk and used as a mouth wash regularly is beneficial.
Allergic rashes,98,Paste prepared from equal quantity of chandana (Sandal wood) powder and Guduchi juice should be applied externally over the skin.
Allergic rhinitis,12,"Equal quantity of Turmeric, Ginger and Ashwagandha powders are mixed well. 5 grams of this Asvagandha Withania somnifera, Solanaceae Vernacular names powder is consumed twice daily with milk before food to relieve allergic rhinitis."
Alopecia,33,Equal quantity of gokshura and sesame flowers are made into paste by adding honey. Apply this paste on the bald areas to stimulate re growth of hair and nourish the scalp.
Alzheimerʼs disease,62,Intake of 15 mg of saffron twice daily is effective in mild to moderate Alzheimerʼs disease
Amenorrhea,60,"The horse gram seeds, induces menstrual periods. Hence people with prolonged menstrual cycle, scanty bleeding (oligomenorrhoea), are advised to use horse gram in their diet regularly. Decoction of seeds is also useful in the management of postpartum syndrome or to promote the discharge of lochia."
Amlapitta(Acid peptic disorders),2,"Equal auantity of Amalaki fruits, shatavari root, sugar made into fine powder. Taking 5gms of this mixture along with ghee and honey in early morning on empty stomach for 40 days is beneficial."
Anaemia,42,Administration of 5gms of Isvari leaves powder along with water twice daily is beneficial in anaemia
Anaemia,88,The Leafy vegetable of Punarnava is particularly effective in Anaemia and Oedema.
Anaemia,102,Mix 1/2 teaspoonful of cinnamon powder and two teaspoonfuls of honey in one cup of pomegranate juice and have it for a few months. It will help the anaemic patients to improve the hemoglobin.
Anemia,100,"Make chikkis or any other homemade sweets using black sesame seeds and jaggery and have them regularly. Black sesame seeds are richer source of iron than white sesame seeds, are highly beneficial in treating anemia."
Anxiety,22,Grind 3 gm Brahmi along with few black pepper in water. Strain the solution and provide this to the patient 3-4 times a day. It cures long-term headache and also decreases anxiety.
Anxiety,104,"Vacha oil has tranquilizing effect, hence regular use over the scalp will reduce the anxiety"
Anxiety,106,Inhalation of almond oil soothes nerves (goes to sinus and a part gets absorbed by nerve tissue) and reduce the anxiety.
Aphthous Ulcer,30,Gargling with leaves decoction of edagaja (A fist full of leave boiled in 100ml of water till it reduced to 25 ml) relieves pain due to aphthous ulcer.
Arthritis,1,Root and bark paste of agastya is applied externally to relieve pain and inflammation associated with arthritis and gout.
Arthritis,14,"One fist full of seeds are soaked in sour buttermilk through out the night. Next day morning, made into fine paste and applied over the joints. This relieves joint pain by one or two weeks."
Arthritis,34,20 ml of Guduchi juice is advised twice daily in Rheumatoid arthritis
Arthritis,38,"Harita manjari leaves are mildly fried in gingerly oil and is applied externally to get the Harita manjari Acalypha indica, Euphorbiaceae Vernacular names relief from painful arthritis."
Arthritis,40,The tila oil cooked with the leaves of indravalli acts as a very eﬀective on external application for arthritis .
Arthritis,59,3 gram of kulanjana (rhizome) powder is administered thrice daily for rheumatic ailments.
As Blood Puriﬁer,29,"The decoction prepared from one fistful of durva grass, 3 betel leaves and 3gms of black pepper is an excellent blood purifier."
As Rejuvenation,56,A drink in which milk is processed with Dates(Dates milk shake) acts as a rejuvinator.
As Rejuvenation,106,"5 no Almonds, 3gms Ashwagandha root, pinch of pippali root powder with Ghee followed by Sugar mixed milk , before going to bed. It also induces good sleep. This boosts the energy and provides stamina. This acts as a immune-modulator too."
Asthma,66,"Coarse powder of 3 cloves, 12-15 basil (Ocimum sanctum) leaves, 10 black pepper is boiled in 200 ml of water till it reduced to 50ml. Administration of this decoction mixed with honey two times a day is beneficial in asthma."
Asthma,86,Boil hand full of Karpooravalli seeds and leaves in water and inhale the vapour to control asthma effectively.
Asthma drink,107,Take 3gms of licorice root powder in 100ml of water and boiled like tea. Drinking this tea two to three times a day good for asthma. Yashtimadhu (Licorice) tea can also treat depression.
Bad Breath,66,Simply chew a few pieces of cloves .
Bad breath,73,Gargle with warm Mishreya (Fennel) water (10gms of fennel seeds boiled in 100ml of water in low flame for 5-10 min) daily once for 7days.
Bad breath,78,"Chewing betel leaves after meals helps to reduce foul breath as well as eases digestion. It will increase secretion of digestive juices, decreases bloating of stomach, cleanses the oral cavity, reduces constipation."
Bad breath,97,"2-3 gram of cardamom powder is added to 150-200 ml of hot water and is used for mouth gargling. This helps to relieve nausea, tastelessness, sore throat and bad breath."
Bad breath,99,The seeds usually are chewed just after a meal to invigorate the breath.
Bad breath,101,chewing one or two holy basil (tulasi) leaves daily helps to relieve bad breath issue. It also improves digestion.
Bad odour,76,External application of the musta paste all over the body daily before bath for bad odour due to sweat .
Baldness,26,Regular application of fresh pulp of Coriander(Dhaniya) on bald areas regularly can cure the problem of baldness.
Bed Wetting,21,Internal administration of 3-5 gms of bimbi root paste daily is useful to control bed wetting in young children.
Bedsores,38,The dried leaf powder of harita manjari dusted and bandaged over the bed-sore areas for healing.
Bedwetting,44,Consume 5gms of Jamun seeds powder with water 2 times a day for 15 days to 1 month in children.
Bleeding diarrhea,85,"Administration of 3-6 gms juice of parnabija leaves with cumin seeds and double quantity of ghee, thrice a day controls the blood flow in diarrhea."
Bleeding disorders,4,5-10 ml of leaf juice is mixed with turmeric powder to made fine paste . This paste applied over the bleeding wound to arrest the bleeding immediately
Bleeding Gums,79,The burnt coconut shell fine powder mixed with edible camphor has to be massaged on gums to treat bleeding gums and also strengthen the gums.
Bleeding piles,50,"3gms of lotus flower/rhizome powder mixed in one cup of milk can be given Kamala Nelumbo nucifera, Nelumbonaceae Vernacular names twice daily for bleeding piles, bloody diarrhoea and cough etc."
Bleeding piles,82,20ml of raw white onion juice should be taken on an empty stomach daily in the morning.
Bleeding piles,105,"20 gms of vasa leaves paste boiled in 100 ml of water till it reduced to 25ml. Internal administration of this decoction twice daily is useful to cure bloody diarrhoea, bleeding piles etc."
Bleeding wound,19,The fruit rind is made into fine paste and applied over the bleeding spots. This helps to arrest bleeding in wound instantly.
Blood puriﬁer,53,The juice of the fruit is consumed daily in a dose of 20-25ml to detox the blood and acts as blood purifier.
Blood puriﬁer,80,Neem leaves help in purify the blood. The patient should chew 10‒12 neem leaves or have half cup of fresh juice of neem leaves daily in the morning.
Body Heat,75,The powdered flowers of mundi given in the dose 1 gram with water twice daily provides coolness to the body and also acts as a tonic.
Boils,44,Apply the paste of Jamun seeds powder mixed with a little sesame oil on the Boils.
Boils,45,The leaves and young flower buds paste of japa is used as a poultice on boils.
Boils,52,"Equal quantity of Karanja seeds, sesamum seeds, mustard seeds, dugdhika plant, castor seeds are made into fine paste and applied over the boils is beneficial."
Boils,85,"Slightly warm parnabija leaves and crush them. Tie it as poultice and applied on the affected area to cure boils, redness and swelling too."
Bone fractures,11,The dried root powder of asthisamharaka can be given in dose of 1-3 gm twice daily and this can also be applied externally after mixing with hot water for bone fracture.
Breast abcess,76,Administration of decoction (5gms of mustha tuber boiled in 100 ml water till it reduced to 25ml) twice daily for 15 days is useful to treat pus discharge from breast or any swellings in breast.
Bronchial asthma,42,"The root powder of Isvari is given in dose of 3 grams with honey in cases of toxicities, bronchial asthma, cough and fever"
Bronchial Asthma,105,"10ml of vasa leaves juice added with 3gms of dry ginger, 2gms of long pepper and honey is given twice daily is useful in cases of bronchial asthma, and cough."
Burn,68,"Manjistha, Teak wood tender leaves and red sandal wood are taken in equal quantity and processed in ghee or oil is used to apply over the burns and scalds. It pacifies burning, pain and reduces skin discoloration."
Burn scars,54,Water mixed with a bit of camphor should be applied regularly on burn scars till it disappears.
Burning feet,67,The paste of fresh leaves of Henna and lemon juice is bandaged onto the soles during night times relieves burning in burning feet syndrome.
Burning micturation,50,3gms Lotus flower paste or rhizome paste along with milk can be given internally twice daily for burning micturation.
Burning Micturation,79,"Regular consumption of tender coconut Narikela Cocos nucifera, Arecaceae Vernacular names water acts as a diuretic, prevents U.T.I (Urinary Tract Infection) and helps in flushing out kidney stones."
Burning Sensation In Urin,51,"10 gms of bark ,3gms of cumin seed,1 3gms of coriander seeds are boiled in 100 ml of water till it reduced to 50 ml. Administration of this decoction by adding some jaggary twice daily is beneficial in burning micturition."
Burning sensations,98,Take 5gms Sandal wood powder in 100ml of rice water and add little amount of sugar or honey and take it internally twice daily for curing burning sensations of body.
Burns,36,Mix 1 tsp of turmeric with 1 tsp of aloevera gel and apply this paste over burnt area.
Burns,61,External application of aloevera gel along with turmeric several times a day is useful in healing of wound due to burns.
Burns:,78,Mix betel leaves paste with honey and apply over the burns.
Cancer prevention,36,"Every day morning, take 10 gms of turmeric powder mix in a cup of warm water for 40 days. This prevents cancer as turmeric has strong cytotoxic effects against certain forms of cancer."
Cancer prevention,65,"Garlic is the most powerful known enemy of carcinogens. Garlic also interferes with the growth or progress of cancer. Taking 7 cloves of fresh, raw garlic in the morning is one of the best steps towards prevention and recovery."
Chest congestion,54,5grams of camphor added in 100 ml of warm sesame oil and dissolved. This is applied over the chest followed by hot water fomentation over the chest to relieve the congestion in chest.
Chest congestion,86,"Take equal quantity of karpooravalli juice and honey, add a pinch of dry ginger powder, a pinch of fresh pepper powder. Mix well and take internally twice a day to relieve chest congestion."
Cholera,7,Mix 2 teaspoonful of grated fresh ginger with 1teaspoonful of honey and consume this mixture 4 times a day to improve digestion in cholera
Cholera,69,"Take equal quantity of Black pepper Hing, Long pepper, dry ginger, rock salt and Camphor are grind well and create small pills (1/2 gm-1pill).Use one pill every half hour to avoid and manage Cholera."
Chronic bronchitis,108,"Mix Ajwain powder with Jagger in equal quantity, heat the mixture to make a paste and take 2 teaspoonful twice a day"
Chronic diarrhea,20,Dry the slices of an unripe bilva fruit in sun and grind them into powder. intake of 5gms of this powder along with warm water 2 times a day is useful.
Chronic fever & splenomegaly,87,"Internal administration of Pippali powder 3 gms mixed with honey twice daily after food. It has significant benefits on low digestion, diarrhea, fever, lack of strength, splenomegaly and loss of appetite."
Chronic skin diseases,17,Daily intake of 5gms of bringaraj in one cup of water and made this decoction is consumed twice daily. This has good benefit over the steroid resistant skin diseases and in psoriasis.
Chronic ulcers,68,"10gms Manistha in 200ml of water and decoction is made and used to wash the wounds in case of chronic wounds, non healing ulcers etc."
Clean Teeth,103,"To get sparkling white teeth, brush teeth with powdered bay leaves once in 3 days."
Cold,69,"3 grams of Black Pepper, 3grams of dry Ginger, crushed 4 Cloves and a few Basil leaves in 100ml of water and boil the solution in low flame for 5-10min. While drinking mix 5ml of Lemon juice and Honey into the decoction and drink twice a day relieves the cold."
Cold,85,Administration of 5 ml juice of parnabija three times a day is beneficial in cold
Cold,108,5 grams of Ajwain seeds crush them and tie in a cloth and inhale it. Or add 10 gms of Ajwain to a bowl of boiling water and inhale the steam to relieve Nasal block
Cold & Cough,40,"Soup prepared with fistful of indravalli (ballon vine) leaves, pepper, cumin seeds, salt (as per taste) cooked in 100ml of water for 5-10 min. This soup is perfect for cold and cough in children."
Colic,1,5 grams of agastya bark powder is boiled in 100ml of water till it reduced to 25ml. Oral administration of this decoction added with salt and hing relieve abdominal colic
Colic,13,"Internal administration of 
50ml decoction of root bark of 
Asvatta (10gms of bark powder 
is boiled in 200ml of water till it 
reduced to 50ml) added with salt 
and jaggery twice daily, alleviates 
severe colic"
Colic,16,"3-6grams of fruit powder of avartani with warm water twice daily is useful in colic. The fruits give an imagination about intestines. The fruits are twisted, hence they are useful in twitching pain of abdomen"
Colic,31,Whole leaf of castor is smeared with sesame oil and warmed slightly. This is applied over the abdomen (Umbilicus) to pacify abdomen colic.
Colic,73,"Take 10 gms of Mishreya Mishreya Foeniculum vulgare, Apiaceae Vernacular names (Fennel) seeds in 100ml of water and add 100gms of sugar. Boil this mixture until it become thick like syrup consistency. Feed 5ml of this syrup to the baby 2-3 times a day."
Colic,78,Apply castor oil on smooth surface of 2-3 broad betel leaves. Warm them little and place them on stomach. By doing this 3-4 times the colic pain will subside.
Common cold,76,"5 gms of coarse powder of musta boiled in 100ml of milk till it reduced to 50ml. This milk is given daily once to both children and adults in case of asthma, common cold and chest congestion etc."
Conjunctivitis,5,The flowers of aparajita are pounded with cow milk and applied over the closed eyes. It alleviates the conjunctivitis
Conjunctivitis,36,Eyes are washed with turmeric water(5 gms boiled in 100ml water) and bandaging the eyes with white cloth soaked in turmeric water during night times while sleeping.
Conjunctivitis,52,"20 young leaves of karanja should be soaked in hot water over night. Next day morning Karanja Pongamia pinnata, Fabaceae Vernacular names macerate the leaves and filter it, to obtain cold infusion. This is used to wash the eyes. This relieves pain, discoloration and gritty feeling caused during the conjunctivitis."
Conjunctivitis,96,Fine Leaf paste is applied around the closed eyes daily once.
Conjunctivitis,98,The cool decoction of Sandal Wood (5gms of sandal wood cooked in 100ml of water and reduced it to 1/4th.) is used for washing of the eyes.
Constipation,3,Guava fruit is nutritious as well as a good Laxative. This fruit is good for Diabetes also
Constipation,6,"15-20gms of aragavadha bark powder cooked in 100ml of water till it reduced to 1/4th. This decoction is orally consumed daily once to relieve constipation, distention of abdomen and chronic diseases due to vitiation of blood."
Constipation,20,"Intake of 5gms of bilva fruit pulp mixed in a glass of butter milk or warm water twice a day to get relief from irritable bowel syndrome, constipation Bilva Aegle marmelos, Rutaceae Vernacular names and indigestion."
Constipation,30,3- 5gms of edagaja flowers powder taken with honey in early morning. It works as a good laxative.
Constipation,41,"1-3gms of Indravaruni root powder taken orally with warm water daily night before going to bed relieves constipation, abdominal distension, menstrual pain etc."
Constipation,48,"Ripened banana as a fruit is a good Laxative, Nutritive and Diuretic."
Constipation,56,Intake of 5-6 fresh dates mixed with 1 teaspoonful of ghee and a pinch of pepper powder on empty stomach in the morning followed by one glass of warm water. relieves constipation and strengthen the digestive system.
Constipation,70,Fried seeds of black gram (20grams) are made into fine powder. This is consumed along with 100ml of sour butter milk. This improves the bulk of the stool. It is specifically beneficial in those having improper bowel habit and irregular passage of the stool.
Constipation,71,5gms of meshashringi leaves powder with warm water should be taken at bed time to cure gastrointestinal disorders like constipation and gas trouble.
Constipation,103,"Intake of tej patta tea (Boil 3 bay leaves in 50ml of water for 5-10min) can alleviate common digestive disorders like constipation, acid reflux and irregular bowel movements"
Cough,19,10gms vibithaki powder with honey taken after meals alleviates cough and dyspnoea.
Cough,37,Administration of haritaki powder 2 gms with honey two to three times a day internally alleavates cough.
Cough,45,"Drinking twice daily Hibiscus tea (1-2 Flowers boiled in 50ml of water 5 to 10 min) is rich in antioxidants, can protect liver, relieves cough and reduce fever too."
Cough,58,"Inhalation of the smoke from burnt krishna musli root is beneficial in chronic cough, cold and asthma."
Cough,59,A small piece of rhizome( 1-2 gram) of Kulanjana kept in the mouth and chewed slowly will certainly give a relieves from cough. It also releives nausea and vomiting sensation.
Cough,78,"Betel leaves drenched in mustard oil, slightly warmed and applied on the chest, reduces cough as well as breathing problems in children."
Cough,81,"Consume the Nirgundi leaf decoction (10 gms of leaves paste boiled in 100m of water and reduced into 1/4th) twice or thrice daily is pacifies cough, throat irritation, fever, URTI etc."
Cough,82,The slices of onion is fried in ghee and taken internally is beneficial to treat cough.
Cough,86,"Paste prepared from 5 leaves of karpooravalli and 10 leaves of tulasi is boiled in 100 ml of water for 5-10min. Cool the water and add one teaspoonful of honey. Intake of this mixture will give a relief from dry cough. Intake of fresh leaves (3 or 4) along with pepper, will also give a relief from cough and cold."
Cough,87,"Pippali powder 2-3 grams is mixed with honey and licked. This helps to pacify cough, cold, sore throat etc."
Cough,97,"Cardamom and sugar candy are taken in 1:2 ratio and powdered well. This is chewed in the dose of 2 gram 3-4 times a day. This is very effective in the conditions like cold, cough, throat congestion, asthma, dryness of the mouth etc."
Cough,99,"Anise powder 5gms with honey is a fantastic treatment for asthma, bronchitis cough in addition to digestive disorders Takkolam Illicium anisatum, Schisandraceae Vernacular names like flatulence, bloating, colicky stomach pain."
Cough,101,"Consuming 10ml of Krishna tulasi leaves juice with honey, twice or thrice a day is useful in cough and cold."
Cough,104,"Administration of 250mg vacha powder and 1gm of licorice powder along with honey twice a day is useful in common paediatric problems like cough, fever, pain in the abdomen etc"
Cysts & Fibroids in Uteru,51,20 grams of fresh bark of kanchanara is boiled in 200 ml of water until the water is decreased to 50 ml. Strain and drink. This is useful in curing cysts and fibroid uterus.
Dandru,67,"The oil prepared from the seeds and leaves of henna is used as an external application over the body to cure burning sensation, itching and dandruff. It also acts as a coolant"
Dandruﬀ,29,"25 gram of durva grass paste in 100 ml sesame oil cooked till the moisture evaporated. This is filtered and stored. This oil is very much useful in itching skin lesions, dandruff, eczema etc"
Dandruﬀ,30,"The leaves of edagaja ground with lemon juice and applied externally as a paste over scalp for 30 min . After that Edagaja Cassia alata, Caesalpiniaceae Vernacular names wash the hair with mild herbal shampoo to cure dendruff."
Dandruﬀ,35,"External application of the paste of the root, seed and leaves of Gunja over the scalp . Wash the hair with mild shampoo after ½ hour. Regular application once in a week is beneficial in destroy the dandruff."
Dandruﬀ,37,"Take a cup of coconut oil in a pan and add 3 haritaki pods and heat it. Once it turns brown, with outer shell cracks turn off the flame, let it be cool and store in a glass bottle. Apply this oil regularly to prevent from dandruff and lice."
Dandruﬀ,40,The leaves are soaked in hot water for 3-4 hours and then crushed well. This water is used in cleaning the hairs. The oil prepared from the paste of the leaves and gingerly oil can be used as a hair tonic and cure for dandruff
Dandruﬀ,43,The leaves of jalapippali paste applied on the scalp is useful in case of dandruff. A Siddha preparation called Poduthalai tailam is very effective in dandruff.
Dandruﬀ,45,The leaves are crushed well and squeezed to extract the mucilaginous content. This should be applied on head before 2 hours of head bath. It relieves dandruff and promotes hair growth.
Dandruﬀ,103,"Make an infusion of Tej patta( soak 10 leaves in 50ml of hot water for 1-2 hours), add it to the shampoo and use it. It helps to treat dandruff."
Dark circles and black heads,106,Regular application of almond oil over the lesions of black head and dark circles around the eyes will relieve the complaints very effectively. 14-21 days application brings considerable change.
Debility,62,"Consuming saffron badam milk (6 badam fried in Ghee, 7 saffron stigma are made paste and boiled in 100ml of milk in low flame for 5-10min) at night benefits to restore the functions of female and male reproductive system. It is indicated in low sperm motility premature ejaculation, erectile dysfunction and low sperm count."
Dengue fever,28,10gms of leaves paste of dugdhika boiled in 100 ml of water till it reduced to 25 ml. This Decoction is taken twice daily is very effective herb to increase platelets and cure dengue fever.
Dengue fever,32,"Papaya leaves juice administered in the dose of 10 to 20 ml, 3 to 4 times a day, helps in restoring the normal platelet count and decreases fever in Dengue."
Dental caries,66,"Clove oil is soaked in cotton applied on area of Lavanga Syzygium Aromaticum, Myrtaceae Vernacular names tooth pain or massage the teeth and gums gently with the clove powder twice daily followed by rinse the mouth with luke warm water is beneficial in dental caries."
Dental caries,82,The paste of onion is kept over the area affected with dental caries and inflammation of the gum.
Dental problems,36,"Mix 1 teaspoonful of turmeric, ½ teaspoonful of salt and sufficient mustard oil to make a paste. Rub the teeth and gums with this paste twice daily."
Diabete,47,Take one teaspoonful powdered cumin seeds with one glass of water twice a day to control sugar levels in diabetes patients.
Diabetes,18,"10gms of whole plant of bhumyamlaki paste boiled in 100 ml of water till it reduced Bhumyamlaki Phyllanthus niruri, Euphorbiaceae Vernacular names to 25ml. Administration of this decoction orally twice a day is very effective in diabetes."
Diabetes,34,The whole plant is crushed and juice is extracted. 10 ml juice is given 3 times daily before food is a very effective remedy to control the glucose level.
Diabetes,44,10 gm of Jambu seeds powder boiled in 100 ml of water till it reduced to 1/4th. Take this decoction on empty stomach early morning reduces blood sugar levels.
